id,word_en,word_fr,example_en
84,such,"tel, un tel","I have never seen such beauty."
85,great,"grand, excellent","He was a great leader."
86,must,devoir,"You must finish your homework."
87,these,ces,"These flowers are for you."
88,two,deux,"She has two children."
89,before,avant,"Think carefully before you answer."
90,see,voir,"Can you see the mountain?"
91,us,nous,"Join us for dinner tonight."
92,over,"sur, au-dessus, terminé","The storm is finally over."
93,much,beaucoup,"There is not much time left."
94,know,"savoir, connaître","Do you know this song?"
95,after,"après","She left after the meeting."
96,first,premier,"This is my first visit here."
97,good,"bon, bien","Have a good day!"
98,down,"en bas, vers le bas","The sun went down slowly."
99,never,jamais,"I have never been to Japan."
100,most,"la plupart, le plus","Most people enjoy music."
101,where,"où","Where did you put my keys?"
102,those,"ces, ceux-là","Those mountains are magnificent."
103,old,"vieux, ancien","He lives in an old castle."
104,men,hommes,"Several men were waiting outside."
105,own,"propre, posséder","She has her own business."
106,shall,"devra, va","We shall meet again soon."
107,came,"vint, est venu","He came home very late."
108,without,sans,"She left without saying goodbye."
109,come,venir,"Come and sit beside me."
110,make,"faire, fabriquer","Let us make a plan."
111,being,"être, étant","Being kind costs nothing."
112,day,jour,"It was a beautiful summer day."
113,might,"pourrait, puissance","She might arrive late tonight."
114,long,"long, longtemps","It has been a long journey."
115,through,"à travers","She walked through the forest."
116,himself,"lui-même","He taught himself to play guitar."
117,work,"travail, travailler","She loves her work."
118,how,comment,"How did you find this place?"
119,go,aller,"Let us go for a walk."
120,am,suis,"I am very pleased to meet you."
121,way,"chemin, façon","Is this the right way home?"
122,even,"même, encore","He did not even say hello."
123,many,"beaucoup de, nombreux","Many people came to the festival."
124,well,"bien, puits","She speaks English very well."
125,say,dire,"What did she say to you?"
126,every,"chaque, tout","Every morning he drinks coffee."
127,too,"aussi, trop","It is too hot today."
128,think,"penser, croire","I think you are absolutely right."
129,under,sous,"The cat hid under the bed."
130,life,vie,"Life is full of surprises."
131,went,"alla, est allé","She went to the library."
132,back,"dos, retour, arrière","He came back very late."
133,same,"même, pareil","We had the same idea."
134,last,"dernier, durer","This was the last train tonight."
135,found,"trouvé, trouva","She found an old letter in the drawer."
136,take,prendre,"Take your time, there is no rush."
137,people,"gens, personnes","Many people gathered in the square."
138,thought,"pensée, pensa","He thought carefully before speaking."
139,here,ici,"Come and sit here beside me."
140,still,"encore, immobile","She is still waiting for an answer."
141,just,"juste, à peine","I just arrived home."
142,while,"pendant que, moment","She read a book while waiting."
143,also,"aussi, également","He also speaks French."
144,again,"encore, de nouveau","Please say that again slowly."
145,against,contre,"She leaned against the wall."
146,place,"endroit, placer","This is a beautiful place."
147,away,"loin, parti","She walked away without looking back."
148,get,"obtenir, devenir","Can you get me a glass of water?"
149,young,jeune,"She is a very young and talented artist."
150,die,mourir,"He did not want to die alone."
151,though,"bien que, cependant","It was cold, though the sun was shining."
152,yet,"encore, pourtant","She has not arrived yet."
153,give,donner,"Give me a moment to think."
154,hand,main,"She held his hand tightly."
155,eyes,yeux,"Her eyes were bright and full of joy."
156,ever,"jamais, toujours","Have you ever seen the ocean?"
157,part,"partie, rôle","This is the best part of the story."
158,left,"gauche, parti, laissé","She left her bag on the chair."
159,things,choses,"Many things have changed lately."
160,saw,"vit, a vu, scie","He saw her across the street."
161,years,"années","They have known each other for twenty years."
162,took,"prit, a pris","She took a deep breath."
163,nothing,rien,"There is nothing left to say."
164,put,"mettre, poser","Put the book on the shelf."
165,new,"nouveau, neuf","She bought a new coat."
166,three,trois,"They waited for three long hours."
167,always,toujours,"She always arrives on time."
168,off,"éteint, loin","Please turn off the light."
169,once,"une fois, autrefois","Once upon a time there was a king."
170,another,"un autre","Would you like another cup of tea?"
171,right,"droit, correct, droite","You are absolutely right."
172,between,entre,"She sat between her two friends."
173,each,chaque,"Each student received a certificate."
174,face,"visage, faire face","She had a smile on her face."
175,because,"parce que","I stayed home because it was raining."
176,whom,"qui, à qui","To whom did you send the letter?"
177,few,"peu, quelques","Only a few people knew the truth."
178,tell,"dire, raconter","Please tell me the whole story."
179,son,fils,"His son is studying medicine."
180,love,"amour, aimer","She has a deep love for music."
181,far,loin,"The village is not very far from here."
182,seemed,semblait,"Everything seemed perfectly calm."
183,house,maison,"They bought an old house in the countryside."
184,got,"obtenu, devenu","She got the job she wanted."
185,head,"tête","He shook his head slowly."
186,called,"appelé, nommé","She called him three times."
187,looked,"regarda, avait l'air","He looked out of the window."
188,whole,"entier, tout","She ate the whole cake by herself."
189,set,"ensemble, poser, régler","The sun set behind the mountains."
190,find,trouver,"Can you help me find my keys?"
191,world,monde,"She wanted to travel the whole world."
192,having,"ayant, possédant","Having patience is very important."
193,thing,chose,"What is that strange thing over there?"
194,both,"les deux, tous deux","Both sisters are very talented."
195,told,"dit, a dit","She told him the truth at last."
196,let,"laisser, permettre","Let me help you with that."
197,look,"regarder, air","Take a look at this photograph."
198,night,nuit,"It was a cold and silent night."
199,going,"allant, partir","Where are you going so early?"
200,heard,entendu,"She heard a strange noise outside."
201,mind,"esprit, objection","Keep an open mind always."
202,knew,"savait, connaissait","He knew the answer immediately."
203,heart,"cœur","She spoke from the bottom of her heart."
204,seen,vu,"Have you seen my umbrella?"
205,days,jours,"Those were the happiest days of my life."
206,name,nom,"What is your name please?"
207,among,parmi,"She was among the best students."
208,done,"fait, terminé","The work is finally done."
209,better,"meilleur, mieux","This is much better than before."
210,full,"plein, complet","The room was full of people."
211,something,"quelque chose","Something strange happened last night."
212,moment,moment,"It was a perfect moment of silence."
213,gave,"donna, a donné","She gave him a warm smile."
214,country,"pays, campagne","She loves her country deeply."
215,almost,presque,"Dinner is almost ready."
216,soon,"bientôt","She will be here very soon."
217,course,"cours, bien sûr","Of course I will help you."
218,cannot,"ne peut pas","I cannot believe what happened."
219,asked,"demanda, a demandé","She asked for a glass of water."
220,small,petit,"A small child was playing in the garden."
221,enough,"assez, suffisant","I have had enough for today."
222,want,"vouloir, désir","What do you want for dinner?"
223,side,"côté","She sat on the other side of the table."
224,woman,femme,"A young woman entered the room."
225,however,"cependant, pourtant","It was cold; however, she went outside."
226,home,"maison, chez soi","There is no place like home."
227,brought,"apporta, apporté","She brought flowers to the hospital."
228,whose,"dont, de qui","Whose coat is this?"
229,nor,ni,"He neither smiled nor spoke."
230,father,"père","Her father was a very kind man."
231,quite,"assez, tout à fait","It was quite a surprise."
232,words,"mots, paroles","His words were very comforting."
233,given,"donné, étant donné","She has given everything she had."
234,till,"jusqu'à, jusqu'à ce que","Wait till I come back."
235,taken,"pris, emmené","She had taken the wrong road."
236,use,"utilisation, utiliser","Can I use your phone please?"
237,hands,mains,"She washed her hands carefully."
238,does,fait,"What does she do for a living?"
239,until,"jusqu'à","Wait here until I return."
240,end,"fin, terminer","The end of the story was unexpected."
241,turned,"tourna, s'avéra","She turned and looked at him."
242,rather,"plutôt, assez","I would rather stay at home."
243,thou,"tu, toi (archaïque)","Thou art the bravest knight I know."
244,best,"meilleur, le mieux","She did her absolute best."
245,since,"depuis, puisque","I have not seen him since Monday."
246,felt,"ressentit, sentit","She felt a sudden wave of calm."
247,word,"mot, parole","He kept his word as promised."
248,used,"utilisé, avait l'habitude","She used to walk here every morning."
249,light,"lumière, léger, allumer","A soft light filled the room."
250,next,"prochain, suivant","She lives in the next street."
251,began,"commença","The music began softly and slowly."
252,less,moins,"Try to worry less about the future."
253,present,"présent, cadeau, présenter","She was present at the ceremony."
254,large,"grand, large","They live in a large house."
255,water,eau,"Could I have a glass of water?"
256,within,"dans, à l'intérieur de","The answer lies within yourself."
257,door,porte,"Someone knocked at the door."
258,poor,pauvre,"The poor man had nowhere to go."
259,sent,"envoya, envoyé","She sent him a long letter."
260,often,souvent,"She often walks along the river."
261,stood,"se tint, resta debout","He stood by the window for hours."
262,power,"pouvoir, puissance","Knowledge is a form of power."
263,room,"pièce, chambre, place","The room was bright and warm."
264,half,"moitié, demi","She ate only half of her meal."
265,public,public,"He spoke in a public place."
266,themselves,"eux-mêmes, elles-mêmes","They built the house themselves."
267,morning,matin,"She woke up early every morning."
268,myself,"moi-même","I made this cake myself."
269,keep,"garder, continuer","Please keep the noise down."
270,money,argent,"Money cannot buy happiness."
271,mother,"mère","Her mother was a wonderful cook."
272,thy,"ton, ta (archaïque)","Thy kindness shall never be forgotten."
273,hundred,cent,"Over a hundred people attended."
274,kind,"gentil, sorte","She is an incredibly kind person."
275,order,"ordre, commander","Everything must be done in order."
276,war,guerre,"The war lasted for many years."
277,means,"moyens, signifie","Hard work means better results."
278,form,"forme, formulaire, former","Please fill in this form carefully."
279,round,"rond, tour, autour","The children sat round the fire."
280,received,"reçu, reçut","She received a very surprising letter."
281,voice,voix,"Her voice was soft and gentle."
282,believe,croire,"I believe in second chances."
283,white,blanc,"She wore a beautiful white dress."
284,anything,"quoi que ce soit, n'importe quoi","Is there anything I can do to help?"
285,near,"près, proche","The school is very near here."
286,others,autres,"Think of others before yourself."
287,thus,"ainsi, donc","She worked hard and thus succeeded."
288,passed,"passa, passé","Many years passed before they met again."
289,matter,"sujet, importer, matière","What is the matter with you?"
290,year,"année","She will graduate next year."
291,read,"lire, lu","Have you read this book yet?"
292,true,"vrai, fidèle","What she said was absolutely true."
293,point,"point, pointe","That is a very good point."
294,herself,"elle-même","She did everything herself."
295,friend,"ami, amie","He is my oldest and dearest friend."
296,state,"état, déclarer","The country is in a difficult state."
297,person,personne,"She is a very generous person."
298,wife,"femme, épouse","He bought his wife a beautiful ring."
299,already,"déjà","She has already finished her work."
300,above,"au-dessus, ci-dessus","The birds flew above the clouds."
301,high,"haut, élevé","The mountain is very high."
302,met,"rencontra, rencontré","They met for the first time in Paris."
303,says,"dit, affirme","She always says what she thinks."
304,together,ensemble,"They worked together on the project."
305,why,pourquoi,"Why did you leave so early?"
306,perhaps,"peut-être","Perhaps she will come tomorrow."
307,death,mort,"The news of his death was shocking."
308,dear,"cher, chéri","She wrote a letter beginning with dear friend."
309,fact,fait,"That is an undeniable fact."
310,least,"moindre, au moins","At least try your best."
311,case,"cas, affaire","This is a very unusual case."
312,hear,entendre,"Can you hear that strange noise?"
313,known,"connu, su","She is a well known artist."
314,English,anglais,"She speaks perfect English."
315,four,quatre,"They waited for four long hours."
316,hope,"espoir, espérer","She never lost hope."
317,along,"le long de, avec","She walked along the riverbank."
318,leave,"partir, laisser","What time do you leave tomorrow?"
319,sure,"sûr, certain","Are you sure about that?"
320,children,enfants,"The children played happily in the garden."
321,during,"pendant, durant","She slept during the whole journey."
322,open,"ouvert, ouvrir","Please open the window."
323,several,plusieurs,"She called him several times."
324,indeed,"en effet, vraiment","It was indeed a remarkable achievement."
325,therefore,"donc, par conséquent","She studied hard and therefore passed."
326,number,"nombre, numéro","A large number of people attended."
327,feet,pieds,"She stood on her feet all day."
328,wish,"souhait, souhaiter","I wish you all the best."
329,gone,"parti, disparu","He was gone before she arrived."
330,girl,fille,"A little girl was singing in the street."
331,lay,"posa, était allongé","She lay down on the grass."
332,either,"soit, l'un ou l'autre","Either option works for me."
333,held,"tint, maintint","She held his hand through the night."
334,whether,"si, que ce soit","I don't know whether she will come."
335,letter,lettre,"She received a letter from an old friend."
336,help,"aide, aider","Can you help me with this please?"
337,free,"libre, gratuit","Education should be free for everyone."
338,general,"général, généralement","He was a very respected general."
339,second,"deuxième, seconde","She finished in second place."
340,alone,seul,"He sat alone by the window."
341,return,"retour, retourner","She promised to return by evening."
342,women,femmes,"Several women gathered in the square."
343,nature,nature,"She has always loved nature."
344,times,"fois, temps, époque","She called three times with no answer."
345,land,"terre, pays, atterrir","The ship finally reached land."
346,became,devint,"She became a doctor at thirty."
347,become,devenir,"He wants to become an architect."
348,thousand,mille,"Over a thousand people attended the concert."
349,body,corps,"Regular exercise is good for the body."
350,air,air,"The mountain air was fresh and clean."
351,thee,"te, toi (archaïque)","I give thee my word of honour."
352,call,"appel, appeler","She forgot to call him back."
353,sat,"s'assit","She sat quietly by the fireplace."
354,speak,parler,"Please speak a little more slowly."
355,itself,"lui-même, elle-même","The problem resolved itself overnight."
356,hour,heure,"She waited for over an hour."
357,reason,raison,"There must be a good reason for this."
358,forth,"en avant, dehors","He set forth on a long journey."
359,feel,"sentir, ressentir","How do you feel today?"
360,looking,"regardant, cherchant","She spent the morning looking for her keys."
361,following,"suivant, suite à","The following day she received good news."
362,rest,"repos, reposer, reste","She needed to rest after the long trip."
363,terms,"termes, conditions","They agreed on the terms of the contract."
364,business,"affaires, commerce","She started her own business last year."
365,behind,"derrière, en retard","He left his umbrella behind."
366,making,"faisant, fabrication","She is making a pot of tea."
367,cried,"pleura, cria","The child cried all night."
368,answered,"répondit","She answered all the questions correctly."
369,really,"vraiment, réellement","Is this really the best solution?"
370,friends,amis,"She has friends all over the world."
371,towards,"vers, envers","He walked slowly towards the exit."
372,child,enfant,"Every child deserves a good education."
373,lost,"perdu, a perdu","She lost her keys this morning."
374,human,humain,"Kindness is a deeply human quality."
375,replied,"répondit","She replied without hesitation."
376,kept,"garda, continua","She kept walking despite the rain."
377,coming,"venant, arrivant","She could hear him coming up the stairs."
378,five,cinq,"They waited five long years to meet again."
379,different,"différent","Everyone has a different point of view."
380,care,"soin, se soucier","She takes great care of her garden."
381,fire,"feu, incendie","They sat around the fire all evening."
382,short,"court, bref, petit","She gave a short but powerful speech."
383,manner,"manière, façon","He spoke in a very polite manner."
384,mean,"signifier, méchant, moyen","What does this word mean?"
385,city,ville,"She grew up in a small city by the sea."
386,fell,tomba,"He fell and hurt his knee."
387,able,capable,"She was finally able to finish the project."
388,need,"besoin, avoir besoin","Do you need any help?"
389,question,question,"That is a very difficult question."
390,family,famille,"Family is the most important thing."
391,boy,"garçon","A young boy was kicking a ball outside."
392,cause,"cause, causer","What was the cause of the accident?"
393,seems,semble,"Everything seems perfectly fine."
394,strong,"fort, solide","She has a very strong character."
395,ten,dix,"He arrived ten minutes late."
396,possible,possible,"Is it possible to change the appointment?"
397,dead,mort,"The old tree was completely dead."
398,returned,"revint, retourné","She returned home exhausted."
399,bring,"apporter, amener","Please bring a warm coat tonight."
400,live,"vivre, habiter, en direct","She lives in a small village."
401,around,"autour, environ","They walked around the old city."
402,doubt,"doute, douter","There is no doubt she is talented."
403,hard,"dur, difficile, fort","She worked very hard all year."
404,soul,"âme","He put his heart and soul into his work."
405,ask,demander,"Do not hesitate to ask for help."
406,sort,"sorte, trier","What sort of music do you like?"
407,fine,"bien, amende, fin","Everything turned out perfectly fine."
408,hold,"tenir, maintenir","Please hold the door open."
409,lady,dame,"A very elegant lady entered the room."
410,black,noir,"She wore a long black coat."
411,beautiful,"beau, belle","It was a beautiful autumn morning."
412,sense,"sens, sentiment","She has a great sense of humour."
413,close,"proche, fermer, serré","Please close the door behind you."
414,subject,"sujet, matière","What is the subject of the painting?"
415,turn,"tour, tourner","It is your turn to speak."
416,town,"ville, bourg","She grew up in a small quiet town."
417,followed,"suivit, a suivi","He followed her into the garden."
418,law,loi,"Everyone must respect the law."
419,evening,"soir, soirée","She went for a walk in the evening."
420,truth,"vérité","She always tells the truth."
421,ground,"sol, terrain, motif","He sat down on the cold ground."
422,understand,comprendre,"Do you understand what I am saying?"
423,show,"spectacle, montrer","She will show you the way."
424,written,"écrit","The note was written in red ink."
425,common,"commun, ordinaire","They share a common interest in art."
426,ought,devrait,"You ought to apologise to her."
427,fear,"peur, craindre","She tried to hide her fear."
428,dark,"sombre, obscur","It was a dark and stormy night."
429,party,"fête, parti, groupe","She organised a wonderful party."
430,ready,"prêt","Dinner is almost ready."
431,force,"force, forcer","He had to use all his force to open it."
432,carried,"porta, transporté","She carried the heavy bags alone."
433,early,"tôt, matinal","She always wakes up very early."
434,talk,"conversation, parler","We need to have a serious talk."
435,account,"compte, récit, expliquer","She gave a detailed account of the events."
436,answer,"réponse, répondre","I do not know the answer."
437,paid,"payé, paya","She paid for everyone at the restaurant."
438,across,"à travers, de l'autre côté","She swam across the river."
439,arms,"bras, armes","She opened her arms to welcome him."
440,necessary,"nécessaire","Is it really necessary to shout?"
441,sometimes,parfois,"She sometimes walks to work."
442,earth,"terre, sol","The earth is billions of years old."
443,spirit,"esprit, âme","She has a very adventurous spirit."
444,saying,"dicton, disant","There is an old saying about patience."
445,idea,"idée","That is a brilliant idea."
446,character,"caractère, personnage","She has a very strong character."
447,reached,"atteignit, atteint","They finally reached the top of the hill."
448,sea,mer,"She loves to walk by the sea."
449,appeared,"apparut, semblait","A strange figure appeared in the doorway."
450,sight,"vue, spectacle","The view from the top was a wonderful sight."
451,interest,"intérêt, intéresser","She has a keen interest in history."
452,six,six,"She arrived six hours late."
453,book,"livre, réserver","She read the whole book in one day."
454,seem,"sembler, paraître","Things are not always what they seem."
455,taking,"prenant, emportant","She is taking a few days off work."
456,continued,"continua, a continué","She continued walking despite the rain."
457,spoke,parla,"He spoke very quietly and calmly."
458,strange,"étrange, bizarre","Something very strange happened last night."
459,age,"âge, époque","She retired at a very young age."
460,meet,"rencontrer, retrouver","Let us meet for coffee tomorrow."
461,longer,"plus long, plus longtemps","She could wait no longer."
462,story,"histoire, récit","She told us a fascinating story."
463,deep,profond,"The lake is very cold and deep."
464,nearly,"presque, près de","She nearly missed her train."
465,line,"ligne, file","Please wait in line patiently."
466,further,"plus loin, de plus","She walked further into the forest."
467,feeling,"sentiment, sensation","She had a strange feeling all day."
468,later,"plus tard","She arrived much later than expected."
469,suddenly,"soudainement, tout à coup","Suddenly the lights went out."
470,added,"ajouta, ajouté","She added a pinch of salt to the soup."
471,brother,"frère","Her brother lives in another city."
472,neither,"ni l'un ni l'autre, ni","Neither of them said a word."
473,stand,"se tenir debout, supporter","She could not stand the cold."
474,real,"réel, vrai","Is this a real diamond?"
475,toward,vers,"He took a step toward the door."
476,rose,"rose, se leva","She rose early and went for a walk."
477,beyond,"au-delà, plus loin","The path led beyond the old bridge."
478,miles,miles,"She walked several miles without stopping."
479,everything,tout,"She gave everything she had."
480,pretty,"joli, assez","She wore a pretty blue dress."
481,act,"acte, agir","Now is the time to act."
482,suppose,"supposer, imaginer","I suppose you are right."
483,comes,vient,"Good news comes when you least expect it."
484,except,"sauf, excepté","Everyone was there except him."
485,table,table,"She set the table for four people."
486,hours,heures,"They talked for hours by the fire."
487,river,"rivière, fleuve","The river flows through the old city."
488,cut,"couper, coupure","She cut the bread into thick slices."
489,eye,"œil","He had a sparkle in his eye."
490,change,"changement, changer","Change is not always easy."
491,past,"passé, devant, au-delà","She walked past without noticing him."
492,natural,naturel,"She has a very natural talent for music."
493,entered,"entra, est entré","She entered the room very quietly."
494,none,"aucun, personne","None of the answers were correct."
495,happy,"heureux, contente","She felt truly happy for the first time."
496,position,"position, poste","She applied for a senior position."
497,else,"d'autre, sinon","Is there anything else I can do?"
498,clear,"clair, dégagé, clarifier","The instructions were very clear."
499,late,"tard, en retard, défunt","Sorry I am so late today."
500,bed,lit,"She went to bed very early last night."
501,laid,"posa, couché","She laid the baby down gently."
502,cold,froid,"It was a very cold winter morning."
503,bad,"mauvais, mal","That was a very bad decision."
504,sound,"son, bruit, solide","She heard a strange sound outside."
505,remember,"se souvenir","Do you remember where we first met?"
506,view,"vue, avis, voir","The view from the window was stunning."
507,led,"mena, a conduit","She led the team to victory."
508,low,"bas, faible","She spoke in a low and calm voice."
509,forward,"en avant, avancer","She looked forward to the weekend."
510,fair,"juste, foire, blond","That does not seem very fair."
511,although,"bien que, quoique","She smiled although she was tired."
512,makes,"fait, rend","Hard work makes all the difference."
513,purpose,"but, objectif","She has a strong sense of purpose."
514,knowledge,"connaissance, savoir","Knowledge is the greatest power."
515,living,"vivant, vie","She makes a living as a painter."
516,pay,"salaire, payer","She forgot to pay the bill."
517,receive,recevoir,"She was excited to receive the parcel."
518,blood,sang,"The test showed his blood pressure was high."
519,army,"armée","The army marched through the city."
520,daughter,fille,"Her daughter is studying medicine abroad."
521,note,"note, billet, noter","She left a note on the kitchen table."
522,opened,"ouvrit, ouvert","He opened the door and stepped outside."
523,run,"courir, gérer, course","She likes to run early in the morning."
524,doing,"faisant, action","What are you doing this evening?"
525,fall,"tomber, automne, chute","Be careful not to fall on the ice."
526,effect,"effet, résultat","The medicine had an immediate effect."
527,pass,"passer, dépasser, col","Did she pass her driving test?"
528,sun,soleil,"The sun set slowly behind the hills."
529,road,"route, chemin","The road was long and winding."
530,husband,mari,"Her husband surprised her with flowers."
531,charge,"charge, accuser, frais","Who is in charge of this project?"
532,tried,"essaya, a essayé","She tried her best but failed."
533,certainly,certainement,"That is certainly an interesting idea."
534,wanted,"voulait, voulu","She wanted to become a writer."
535,service,service,"The customer service was excellent."
536,front,"devant, façade","She waited at the front of the queue."
537,red,rouge,"She wore a bright red scarf."
538,probably,probablement,"She will probably arrive by noon."
539,future,"futur, avenir","No one can predict the future."
540,placed,"plaça, placé","She placed the flowers in a vase."
541,desire,"désir, désirer","She had a strong desire to travel."
542,send,envoyer,"Please send me the document."
543,office,"bureau, office","She works in a small office downtown."
544,greater,"plus grand, supérieur","The greater the effort, the greater the reward."
545,big,"grand, gros","She has a very big heart."
546,letters,lettres,"She received several letters that morning."
547,peace,paix,"She finally found peace of mind."
548,hair,"cheveux, poil","She has long and curly hair."
549,pleasure,plaisir,"It was a great pleasure to meet you."
550,lived,"vécut, a vécu","She lived in Paris for ten years."
551,including,"y compris, dont","Several guests attended, including the mayor."
552,horse,cheval,"She has ridden horses since childhood."
553,glad,"content, heureux","I am very glad you could come."
554,remained,"resta, est resté","She remained calm throughout the crisis."
555,opinion,"opinion, avis","In my opinion, she made the right choice."
556,various,"divers, varié","The museum has various exhibitions this month."
557,history,histoire,"She has always been passionate about history."
558,play,"jeu, jouer, pièce de théâtre","The children love to play outside."
559,agreement,accord,"They finally reached a satisfactory agreement."
560,died,"mourut, est mort","The old oak tree died last winter."
561,wrote,"écrivit, a écrit","She wrote a beautiful poem for the occasion."
562,wild,"sauvage, fou","Wild horses ran across the open plain."
563,ran,"courut, a couru","She ran as fast as she possibly could."
564,government,gouvernement,"The government announced new measures."
565,save,"sauver, économiser, sauf","She managed to save enough money."
566,length,"longueur, durée","The length of the film surprised everyone."
567,master,"maître, maîtriser","She became a master of her craft."
568,latter,"dernier des deux, second","Of the two options, I prefer the latter."
569,persons,personnes,"Several persons were waiting outside the building."
570,hardly,"à peine, difficilement","She could hardly keep her eyes open."
571,gold,"or, doré","She wore a delicate gold necklace."
572,paper,"papier, journal","She wrote his name on a piece of paper."
573,particular,"particulier, précis","Is there any particular reason for this?"
574,mark,"marque, noter, signe","She left her mark on the world."
575,information,"information, renseignement","Do you have any information about the event?"
576,bear,"ours, supporter, porter","She could not bear to say goodbye."
577,fellow,"compagnon, type, camarade","He is a very cheerful fellow."
578,church,"église","They got married in a small country church."
579,attention,attention,"Please pay close attention to the instructions."
580,according,"selon, d'après","According to the report, things are improving."
581,wind,"vent, enrouler","A cold wind blew through the valley."
582,company,"compagnie, entreprise","She enjoys the company of good friends."
583,walked,"marcha, a marché","She walked alone through the empty streets."
584,chief,"chef, principal","What is the chief cause of the problem?"
585,strength,"force, résistance","She showed remarkable strength throughout."
586,gentleman,"gentleman, monsieur","He behaved like a true gentleman."
587,mine,"mien, mine","This book is mine, not yours."
588,object,"objet, objectif, s'opposer","What is the object of this exercise?"
589,unless,"à moins que","Unless you hurry, we will miss the train."
590,duty,"devoir, obligation","She felt it was her duty to help."
591,drew,"dessina, tira","He drew a beautiful map of the island."
592,single,"seul, célibataire, simple","Not a single word was spoken."
593,distance,"distance, lointain","She could see lights in the distance."
594,books,livres,"She has shelves full of books at home."
595,deal,"accord, traiter, quantité","She got a very good deal on the house."
596,visit,"visite, rendre visite","She paid a visit to her old friend."
597,foot,pied,"He hurt his foot during the hike."
598,beauty,"beauté","The beauty of the landscape was breathtaking."
599,beginning,"début, commencement","Every great story has a beautiful beginning."
600,heavy,"lourd, intense","The bag was far too heavy to carry."
601,standing,"debout, statut","She was standing at the edge of the cliff."
602,knows,"sait, connaît","She knows exactly what she wants."
603,thinking,"pensée, réflexion, pensant","She spent the morning thinking about the problem."
604,loved,"aimé, adoré","She was deeply loved by everyone."
605,carry,"porter, transporter","Can you carry this bag for me?"
606,immediately,"immédiatement, tout de suite","She left immediately after the meeting."
607,unto,"à, jusqu'à (archaïque)","He gave unto others without hesitation."
608,try,"essayer, tentative","Please try to be on time."
609,rich,riche,"She lived in a rich and vibrant city."
610,plain,"plaine, simple, évident","She preferred plain and simple food."
611,sweet,"doux, sucré","She had a very sweet and gentle nature."
612,seeing,"voyant, étant donné","Seeing her again made him very happy."
